id,drive_file_id,name,mime_type,size,created_time,modified_time,web_view_link,is_shared,synced_at
4790,1BYlwJUT02u9m7G8PRE7i4IDbnjoX-QVvnyqc3Rl2ZBo,Biography & Quotes,application/vnd.google-apps.document,3971,2024-04-25 13:39:31.264,2024-05-22 03:07:19.603,https://docs.google.com/document/d/1BYlwJUT02u9m7G8PRE7i4IDbnjoX-QVvnyqc3Rl2ZBo/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4791,1a6c_qyidAbUO45JKySxlp4_JtV4AmOxaAQpqebsAP04,Quotes,application/vnd.google-apps.document,2713,2024-05-22 03:00:13.796,2024-05-22 03:00:30.029,https://docs.google.com/document/d/1a6c_qyidAbUO45JKySxlp4_JtV4AmOxaAQpqebsAP04/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4792,1Li9IAGyB4lnhtJPMfsSwo_FuViajVtOK8-AJlc0cnH0,Biography,application/vnd.google-apps.document,2683,2024-04-25 14:22:25,2024-05-22 02:56:30.865,https://docs.google.com/document/d/1Li9IAGyB4lnhtJPMfsSwo_FuViajVtOK8-AJlc0cnH0/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4793,14DBrJGuF7fouN6za9l9grermZvVVf-22anEsLDfU1S8,Quotes,application/vnd.google-apps.document,4172,2024-05-22 02:45:16.189,2024-05-22 02:48:07.366,https://docs.google.com/document/d/14DBrJGuF7fouN6za9l9grermZvVVf-22anEsLDfU1S8/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4794,1CP2hJjts7OOYSvLlsgI9TSvmQqW-plx87mVZQ6BRWyQ,Biography ,application/vnd.google-apps.document,3825,2024-04-25 14:45:49.728,2024-05-22 02:36:44.971,https://docs.google.com/document/d/1CP2hJjts7OOYSvLlsgI9TSvmQqW-plx87mVZQ6BRWyQ/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4795,1zkuUG72r6dAiCjbMFZ3QZt8JaUGQfMTZhcQEWesh3wI,Quotes,application/vnd.google-apps.document,3919,2024-05-22 02:17:56.135,2024-05-22 02:26:41.495,https://docs.google.com/document/d/1zkuUG72r6dAiCjbMFZ3QZt8JaUGQfMTZhcQEWesh3wI/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4796,1tZC-GJiMh_vOobS-vyv8BnQdLzRc_-9Baf-br_2yy3g,Biography,application/vnd.google-apps.document,3738,2024-05-22 02:09:16.656,2024-05-22 02:15:41.9,https://docs.google.com/document/d/1tZC-GJiMh_vOobS-vyv8BnQdLzRc_-9Baf-br_2yy3g/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4797,1o9TTT79JxInMEEls5tUQC47sWJhq23OW9PPAodk8BEI,Biography & Quotes,application/vnd.google-apps.document,2777,2024-04-03 10:47:00.027,2024-05-22 01:50:28.604,https://docs.google.com/document/d/1o9TTT79JxInMEEls5tUQC47sWJhq23OW9PPAodk8BEI/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4798,1ixzMFOhLBdpm43t1J60zJMNI3eW38Ek81mROaATL8rE,Quotes,application/vnd.google-apps.document,3640,2024-05-22 01:25:25.551,2024-05-22 01:29:08.689,https://docs.google.com/document/d/1ixzMFOhLBdpm43t1J60zJMNI3eW38Ek81mROaATL8rE/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4799,1dT_RTBlFC8rxGFGNFAhhM2EkhOOwGECjbg-fk9535eo,Quotes,application/vnd.google-apps.document,3460,2024-05-22 01:20:34.599,2024-05-22 01:24:41.531,https://docs.google.com/document/d/1dT_RTBlFC8rxGFGNFAhhM2EkhOOwGECjbg-fk9535eo/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
